,0
Fast_Stoch_98_per_3_smoothing_52_per_ago_%,9.31499922927386e+16
Fast_Stoch_98_per_3_smoothing_47_per_ago_%,9.314999229272066e+16
Fast_Stoch_98_per_3_smoothing_48_per_ago_%,9.314999229272066e+16
Fast_Stoch_98_per_3_smoothing_51_per_ago_%,9.314999229272066e+16
Fast_Stoch_98_per_3_smoothing_50_per_ago_%,9.314999229272066e+16
Fast_Stoch_98_per_3_smoothing_49_per_ago_%,9.314999229272066e+16
Slow_Stoch_70_per_3_smoothing_47_per_ago_%,9.240340144540451e+16
Slow_Stoch_70_per_3_smoothing_46_per_ago_%,8.956021986246986e+16
Slow_Stoch_70_per_3_smoothing_45_per_ago_%,8.813862907100571e+16
Fast_Stoch_98_per_3_smoothing_44_per_ago_%,8.50499929629212e+16
Fast_Stoch_98_per_3_smoothing_46_per_ago_%,8.50499929629212e+16
Fast_Stoch_98_per_3_smoothing_45_per_ago_%,8.50499929629212e+16
Slow_Stoch_70_per_3_smoothing_44_per_ago_%,8.387385669660688e+16
Fast_Stoch_98_per_3_smoothing_43_per_ago_%,8.099999329803048e+16
Slow_Stoch_42_per_3_smoothing_47_per_ago_%,7.758138892970816e+16
Slow_Stoch_42_per_3_smoothing_48_per_ago_%,7.709650524890058e+16
Slow_Stoch_70_per_3_smoothing_43_per_ago_%,7.676590273927339e+16
Slow_Stoch_42_per_3_smoothing_46_per_ago_%,7.63691797276792e+16
Slow_Stoch_42_per_3_smoothing_45_per_ago_%,7.515697052565563e+16
Slow_Stoch_42_per_3_smoothing_49_per_ago_%,7.491452868525643e+16
Fast_Stoch_98_per_3_smoothing_42_per_ago_%,7.2899993968231e+16
Slow_Stoch_42_per_3_smoothing_58_per_ago_%,7.152034291959565e+16
Slow_Stoch_42_per_3_smoothing_44_per_ago_%,7.152034291957953e+16
Slow_Stoch_70_per_3_smoothing_33_per_ago_%,7.1079539573423016e+16
Slow_Stoch_42_per_3_smoothing_59_per_ago_%,7.030813371757207e+16
Slow_Stoch_70_per_3_smoothing_34_per_ago_%,6.965794878195253e+16
Slow_Stoch_70_per_3_smoothing_28_per_ago_%,6.965794878195253e+16
Slow_Stoch_70_per_3_smoothing_32_per_ago_%,6.965794878195253e+16
Slow_Stoch_70_per_3_smoothing_42_per_ago_%,6.965794878193358e+16
Slow_Stoch_42_per_3_smoothing_50_per_ago_%,6.958080819634105e+16
Fast_Stoch_98_per_3_smoothing_33_per_ago_%,6.884999430334778e+16
Fast_Stoch_98_per_3_smoothing_34_per_ago_%,6.884999430334778e+16
Fast_Stoch_98_per_3_smoothing_32_per_ago_%,6.884999430334778e+16
Slow_Stoch_70_per_3_smoothing_29_per_ago_%,6.823635799048205e+16
Slow_Stoch_42_per_3_smoothing_60_per_ago_%,6.788371531351954e+16
Slow_Stoch_42_per_3_smoothing_57_per_ago_%,6.788371531351416e+16
Slow_Stoch_70_per_3_smoothing_30_per_ago_%,6.681476719901156e+16
Slow_Stoch_42_per_3_smoothing_51_per_ago_%,6.594418059026224e+16
Slow_Stoch_42_per_3_smoothing_43_per_ago_%,6.545929690945085e+16
Slow_Stoch_70_per_3_smoothing_26_per_ago_%,6.539317640755371e+16
Slow_Stoch_70_per_3_smoothing_27_per_ago_%,6.539317640755371e+16
Slow_Stoch_70_per_3_smoothing_31_per_ago_%,6.5393176407547384e+16
Slow_Stoch_42_per_3_smoothing_53_per_ago_%,6.5028289193179336e+16
Fast_Stoch_98_per_3_smoothing_35_per_ago_%,6.479999463844956e+16
Fast_Stoch_98_per_3_smoothing_41_per_ago_%,6.479999463843156e+16
Slow_Stoch_42_per_3_smoothing_52_per_ago_%,6.475890937050482e+16
Slow_Stoch_42_per_3_smoothing_54_per_ago_%,6.457034349463787e+16
Slow_Stoch_42_per_3_smoothing_56_per_ago_%,6.45164675301045e+16
Slow_Stoch_70_per_3_smoothing_41_per_ago_%,6.397158561606427e+16
Slow_Stoch_42_per_3_smoothing_55_per_ago_%,6.3088754469939784e+16
Slow_Stoch_70_per_3_smoothing_24_per_ago_%,6.254999482461905e+16
Slow_Stoch_70_per_3_smoothing_25_per_ago_%,6.254999482461905e+16
Slow_Stoch_70_per_3_smoothing_35_per_ago_%,6.254999482461274e+16
Fast_Stoch_98_per_3_smoothing_38_per_ago_%,6.209006839207945e+16
Fast_Stoch_98_per_3_smoothing_39_per_ago_%,6.209006839207945e+16
Fast_Stoch_98_per_3_smoothing_36_per_ago_%,6.074999497354084e+16
Fast_Stoch_98_per_3_smoothing_40_per_ago_%,6.074999497352284e+16
Slow_Stoch_42_per_3_smoothing_33_per_ago_%,6.06104601013619e+16
Slow_Stoch_70_per_3_smoothing_40_per_ago_%,5.970681324166545e+16
Slow_Stoch_42_per_3_smoothing_32_per_ago_%,5.939825089933295e+16
Slow_Stoch_42_per_3_smoothing_34_per_ago_%,5.939825089933295e+16
Slow_Stoch_42_per_3_smoothing_42_per_ago_%,5.9398250899316824e+16
Fast_Stoch_98_per_3_smoothing_29_per_ago_%,5.85187061768487e+16
Slow_Stoch_70_per_3_smoothing_15_per_ago_%,5.828522245021391e+16
Slow_Stoch_70_per_3_smoothing_36_per_ago_%,5.82852224502076e+16
Fast_Stoch_98_per_3_smoothing_31_per_ago_%,5.804999519694651e+16
Fast_Stoch_98_per_3_smoothing_30_per_ago_%,5.7374995252787816e+16
Fast_Stoch_98_per_3_smoothing_28_per_ago_%,5.7374995252787816e+16
Fast_Stoch_98_per_3_smoothing_16_per_ago_%,5.717460464437545e+16
Fast_Stoch_98_per_3_smoothing_15_per_ago_%,5.717460464437545e+16
Slow_Stoch_70_per_3_smoothing_16_per_ago_%,5.686363165874975e+16
Slow_Stoch_14_per_3_smoothing_2_per_ago_%,5.584820966476364e+16
Slow_Stoch_70_per_3_smoothing_23_per_ago_%,5.544204086727924e+16
Slow_Stoch_70_per_3_smoothing_39_per_ago_%,5.544204086727294e+16
Fast_Stoch_98_per_3_smoothing_37_per_ago_%,5.50113960998025e+16
Slow_Stoch_42_per_3_smoothing_41_per_ago_%,5.4549414091211736e+16
Slow_Stoch_42_per_3_smoothing_31_per_ago_%,5.4306972250819496e+16
Slow_Stoch_70_per_3_smoothing_17_per_ago_%,5.4020450075815096e+16
Slow_Stoch_70_per_3_smoothing_38_per_ago_%,5.4020450075808776e+16
Slow_Stoch_70_per_3_smoothing_37_per_ago_%,5.4020450075808776e+16
Fast_Stoch_98_per_3_smoothing_6_per_ago_%,5.381139260647101e+16
Fast_Stoch_98_per_3_smoothing_5_per_ago_%,5.381139260647101e+16
Slow_Stoch_42_per_3_smoothing_35_per_ago_%,5.333720488919891e+16
Fast_Stoch_98_per_3_smoothing_17_per_ago_%,5.277655813326363e+16
Slow_Stoch_42_per_3_smoothing_30_per_ago_%,5.260987936797916e+16
Fast_Stoch_98_per_3_smoothing_27_per_ago_%,5.207142426304375e+16
Slow_Stoch_70_per_3_smoothing_18_per_ago_%,5.117726849288042e+16
Slow_Stoch_70_per_3_smoothing_22_per_ago_%,5.11772684928741e+16
Slow_Stoch_42_per_3_smoothing_40_per_ago_%,5.091278648513562e+16
Slow_Stoch_42_per_3_smoothing_29_per_ago_%,4.994301912352255e+16
Slow_Stoch_70_per_3_smoothing_19_per_ago_%,4.975567770140994e+16
Slow_Stoch_70_per_3_smoothing_14_per_ago_%,4.9755677701403624e+16
Slow_Stoch_42_per_3_smoothing_36_per_ago_%,4.9700577283117416e+16
Fast_Stoch_98_per_3_smoothing_7_per_ago_%,4.967205471365988e+16
Fast_Stoch_98_per_3_smoothing_26_per_ago_%,4.917856735954251e+16
Slow_Stoch_42_per_3_smoothing_28_per_ago_%,4.87308099214979e+16
Slow_Stoch_70_per_3_smoothing_20_per_ago_%,4.833408690993944e+16
Slow_Stoch_42_per_3_smoothing_39_per_ago_%,4.727615887906488e+16
Slow_Stoch_70_per_3_smoothing_21_per_ago_%,4.691249611846896e+16
Fast_Stoch_98_per_3_smoothing_24_per_ago_%,4.681496494147549e+16
Fast_Stoch_98_per_3_smoothing_25_per_ago_%,4.681496494147548e+16
Slow_Stoch_42_per_3_smoothing_37_per_ago_%,4.60639496770413e+16
Slow_Stoch_42_per_3_smoothing_38_per_ago_%,4.60639496770413e+16
Fast_Stoch_98_per_3_smoothing_14_per_ago_%,4.551454924865946e+16
Fast_Stoch_98_per_3_smoothing_13_per_ago_%,4.551454924865946e+16
Fast_Stoch_98_per_3_smoothing_11_per_ago_%,4.551454924865946e+16
Fast_Stoch_98_per_3_smoothing_10_per_ago_%,4.551454924865944e+16
Fast_Stoch_98_per_3_smoothing_9_per_ago_%,4.551454924865944e+16
Fast_Stoch_98_per_3_smoothing_22_per_ago_%,4.515641337604867e+16
Fast_Stoch_98_per_3_smoothing_21_per_ago_%,4.515641337604867e+16
Slow_Stoch_42_per_3_smoothing_27_per_ago_%,4.460929863461042e+16
Slow_Stoch_42_per_3_smoothing_26_per_ago_%,4.460929863461042e+16
Fast_Stoch_98_per_3_smoothing_12_per_ago_%,4.421413355583764e+16
Fast_Stoch_98_per_3_smoothing_8_per_ago_%,4.421413355583763e+16
Fast_Stoch_98_per_3_smoothing_23_per_ago_%,4.309035864621953e+16
Slow_Stoch_42_per_3_smoothing_25_per_ago_%,4.266976391136817e+16
Slow_Stoch_42_per_3_smoothing_24_per_ago_%,4.266976391136817e+16
Fast_Stoch_98_per_3_smoothing_20_per_ago_%,4.220710773366085e+16
Fast_Stoch_98_per_3_smoothing_19_per_ago_%,3.991052873044623e+16
Slow_Stoch_42_per_3_smoothing_15_per_ago_%,3.976046182650265e+16
Slow_Stoch_98_per_3_smoothing_58_per_ago_%,3.945132779380476e+16
Slow_Stoch_98_per_3_smoothing_59_per_ago_%,3.89389728873931e+16
Slow_Stoch_42_per_3_smoothing_16_per_ago_%,3.879069446488367e+16
Fast_Stoch_98_per_3_smoothing_18_per_ago_%,3.798405921176526e+16
Slow_Stoch_98_per_3_smoothing_60_per_ago_%,3.791426307456751e+16
Slow_Stoch_98_per_3_smoothing_57_per_ago_%,3.791426307456523e+16
Slow_Stoch_42_per_3_smoothing_23_per_ago_%,3.78209271032604e+16
Fast_Stoch_98_per_3_smoothing_4_per_ago_%,3.725404103526329e+16
Slow_Stoch_70_per_3_smoothing_13_per_ago_%,3.696136057818821e+16
Slow_Stoch_42_per_3_smoothing_17_per_ago_%,3.685115974164143e+16
Slow_Stoch_98_per_3_smoothing_56_per_ago_%,3.6377198355325704e+16
Slow_Stoch_98_per_3_smoothing_55_per_ago_%,3.53524885425001e+16
Slow_Stoch_98_per_3_smoothing_54_per_ago_%,3.53524885425001e+16
Slow_Stoch_98_per_3_smoothing_49_per_ago_%,3.535248854249329e+16
Slow_Stoch_42_per_3_smoothing_18_per_ago_%,3.491162501839918e+16
Slow_Stoch_42_per_3_smoothing_22_per_ago_%,3.4911625018394868e+16
Slow_Stoch_98_per_3_smoothing_53_per_ago_%,3.484013363608617e+16
Slow_Stoch_98_per_3_smoothing_50_per_ago_%,3.484013363608163e+16
Slow_Stoch_98_per_3_smoothing_52_per_ago_%,3.4327778729672236e+16
Slow_Stoch_98_per_3_smoothing_51_per_ago_%,3.4327778729669964e+16
Slow_Stoch_98_per_3_smoothing_48_per_ago_%,3.43277787296677e+16
Slow_Stoch_42_per_3_smoothing_19_per_ago_%,3.3941857656775908e+16
Slow_Stoch_42_per_3_smoothing_14_per_ago_%,3.394185765677161e+16
Slow_Stoch_98_per_3_smoothing_47_per_ago_%,3.33030689168421e+16
Slow_Stoch_42_per_3_smoothing_20_per_ago_%,3.2972090295152624e+16
Slow_Stoch_98_per_3_smoothing_46_per_ago_%,3.227835910401651e+16
Slow_Stoch_42_per_3_smoothing_21_per_ago_%,3.2002322933529344e+16
Slow_Stoch_98_per_3_smoothing_45_per_ago_%,3.1766004197604856e+16
Slow_Stoch_98_per_3_smoothing_44_per_ago_%,3.022893947836759e+16
Fast_Stoch_98_per_3_smoothing_3_per_ago_%,2.989521811470997e+16
Slow_Stoch_98_per_3_smoothing_43_per_ago_%,2.766716494630474e+16
Slow_Stoch_42_per_3_smoothing_13_per_ago_%,2.521395140217504e+16
Slow_Stoch_98_per_3_smoothing_42_per_ago_%,2.510539041423961e+16
Slow_Stoch_70_per_3_smoothing_9_per_ago_%,2.4798861584501732e+16
Slow_Stoch_98_per_3_smoothing_34_per_ago_%,2.459303550783345e+16
Slow_Stoch_98_per_3_smoothing_33_per_ago_%,2.4251465570225616e+16
Slow_Stoch_70_per_3_smoothing_8_per_ago_%,2.4009088922560204e+16
Slow_Stoch_98_per_3_smoothing_41_per_ago_%,2.305597078858842e+16
Slow_Stoch_98_per_3_smoothing_35_per_ago_%,2.254361588218131e+16
Slow_Stoch_98_per_3_smoothing_32_per_ago_%,2.245822339777921e+16
Slow_Stoch_98_per_3_smoothing_40_per_ago_%,2.1518906069351164e+16
Slow_Stoch_70_per_3_smoothing_7_per_ago_%,2.148181640439038e+16
Slow_Stoch_70_per_3_smoothing_12_per_ago_%,2.132386187203812e+16
Slow_Stoch_98_per_3_smoothing_36_per_ago_%,2.100655116294178e+16
Slow_Stoch_98_per_3_smoothing_29_per_ago_%,2.025021772966515e+16
Slow_Stoch_98_per_3_smoothing_31_per_ago_%,2.015262631892019e+16
Slow_Stoch_98_per_3_smoothing_28_per_ago_%,2.006723383451831e+16
Slow_Stoch_98_per_3_smoothing_30_per_ago_%,2.0067233834516956e+16
Slow_Stoch_98_per_3_smoothing_39_per_ago_%,1.9981841350116184e+16
Slow_Stoch_98_per_3_smoothing_37_per_ago_%,1.9469486443704524e+16
Slow_Stoch_98_per_3_smoothing_38_per_ago_%,1.9469486443704524e+16
Slow_Stoch_98_per_3_smoothing_27_per_ago_%,1.7932421724465238e+16
Fast_Stoch_98_per_3_smoothing_2_per_ago_%,1.7477204436295e+16
Slow_Stoch_70_per_3_smoothing_10_per_ago_%,1.7217044030011888e+16
Slow_Stoch_98_per_3_smoothing_26_per_ago_%,1.7200486143875162e+16
Slow_Stoch_70_per_3_smoothing_11_per_ago_%,1.7059089497632984e+16
Slow_Stoch_42_per_3_smoothing_9_per_ago_%,1.6917052863846284e+16
Slow_Stoch_42_per_3_smoothing_8_per_ago_%,1.6378293218490824e+16
Slow_Stoch_98_per_3_smoothing_24_per_ago_%,1.6102582772990322e+16
Slow_Stoch_98_per_3_smoothing_25_per_ago_%,1.6102582772990318e+16
Fast_Stoch_98_per_3_smoothing_1_per_ago_%,1.4660155037013332e+16
Slow_Stoch_42_per_3_smoothing_7_per_ago_%,1.4654262353382724e+16
Slow_Stoch_42_per_3_smoothing_12_per_ago_%,1.4546510424336224e+16
Slow_Stoch_98_per_3_smoothing_23_per_ago_%,1.4272743821515e+16
Slow_Stoch_98_per_3_smoothing_22_per_ago_%,1.3174840450629482e+16
Slow_Stoch_98_per_3_smoothing_15_per_ago_%,1.3129094476842224e+16
Slow_Stoch_14_per_3_smoothing_1_per_ago_%,1.3031248921760376e+16
Slow_Stoch_98_per_3_smoothing_16_per_ago_%,1.299185655548249e+16
Slow_Stoch_98_per_3_smoothing_17_per_ago_%,1.2717380712761592e+16
Slow_Stoch_70_per_3_smoothing_6_per_ago_%,1.2636362590808954e+16
Slow_Stoch_98_per_3_smoothing_18_per_ago_%,1.2625888765188296e+16
Slow_Stoch_98_per_3_smoothing_19_per_ago_%,1.262588876518779e+16
Slow_Stoch_98_per_3_smoothing_20_per_ago_%,1.2442904870039676e+16
Slow_Stoch_98_per_3_smoothing_21_per_ago_%,1.207693707974396e+16
Slow_Stoch_42_per_3_smoothing_10_per_ago_%,1.1744960268535382e+16
Slow_Stoch_42_per_3_smoothing_11_per_ago_%,1.1637208339470704e+16
Slow_Stoch_98_per_3_smoothing_14_per_ago_%,1.120776357779249e+16
Slow_Stoch_70_per_3_smoothing_5_per_ago_%,9161362878345342.0
Slow_Stoch_42_per_3_smoothing_6_per_ago_%,8620154325513225.0
Slow_Stoch_70_per_3_smoothing_3_per_ago_%,8529544748822702.0
Slow_Stoch_98_per_3_smoothing_13_per_ago_%,8325767229217888.0
Slow_Stoch_42_per_3_smoothing_3_per_ago_%,7273255212173767.0
Slow_Stoch_70_per_3_smoothing_4_per_ago_%,7265908489731123.0
Slow_Stoch_42_per_3_smoothing_5_per_ago_%,6734495566814534.0
Slow_Stoch_42_per_3_smoothing_4_per_ago_%,5926356098803801.0
Slow_Stoch_70_per_3_smoothing_2_per_ago_%,5686363165881801.0
Slow_Stoch_98_per_3_smoothing_9_per_ago_%,5529163365042671.0
Slow_Stoch_98_per_3_smoothing_8_per_ago_%,5294334032933293.0
Slow_Stoch_42_per_3_smoothing_2_per_ago_%,4848836808115845.0
Slow_Stoch_98_per_3_smoothing_12_per_ago_%,4803327247627181.0
Slow_Stoch_98_per_3_smoothing_7_per_ago_%,4696586642116929.0
Slow_Stoch_98_per_3_smoothing_10_per_ago_%,3864009919201424.0
Slow_Stoch_98_per_3_smoothing_11_per_ago_%,3842661798102313.5
Slow_Stoch_70_per_3_smoothing_1_per_ago_%,2843181582940900.5
Slow_Stoch_98_per_3_smoothing_6_per_ago_%,2732559500866031.0
Slow_Stoch_42_per_3_smoothing_1_per_ago_%,2424418404057922.5
Slow_Stoch_98_per_3_smoothing_3_per_ago_%,2195806741774289.5
Slow_Stoch_98_per_3_smoothing_5_per_ago_%,2098215331024445.8
Slow_Stoch_98_per_3_smoothing_4_per_ago_%,1805441098790734.5
Slow_Stoch_98_per_3_smoothing_2_per_ago_%,1463871161182859.5
Slow_Stoch_98_per_3_smoothing_1_per_ago_%,731935580591429.8
Fast_Stoch_98_per_6_smoothing_46_per_ago_%,8533.256783873325
Fast_Stoch_98_per_6_smoothing_49_per_ago_%,8507.368326125174
Fast_Stoch_98_per_6_smoothing_48_per_ago_%,8498.448773455615
Fast_Stoch_98_per_6_smoothing_47_per_ago_%,8462.770562777461
Fast_Stoch_98_per_6_smoothing_50_per_ago_%,8434.639665896524
Fast_Stoch_98_per_6_smoothing_45_per_ago_%,8421.871150536326
Fast_Stoch_98_per_6_smoothing_44_per_ago_%,8347.033928137926
Fast_Stoch_98_per_6_smoothing_51_per_ago_%,8246.642940399732
Fast_Stoch_98_per_6_smoothing_43_per_ago_%,8199.099883862167
Fast_Stoch_98_per_6_smoothing_55_per_ago_%,8166.666666646453
Fast_Stoch_98_per_6_smoothing_54_per_ago_%,8166.666666646453
Fast_Stoch_98_per_6_smoothing_52_per_ago_%,8087.463231219908
Fast_Stoch_98_per_6_smoothing_42_per_ago_%,8083.1456991578225
Fast_Stoch_98_per_6_smoothing_56_per_ago_%,8031.147540981799
Fast_Stoch_98_per_6_smoothing_53_per_ago_%,7963.961732718243
Fast_Stoch_98_per_6_smoothing_57_per_ago_%,7861.748633878026
Fast_Stoch_98_per_6_smoothing_41_per_ago_%,7763.919603615558
Fast_Stoch_84_per_6_smoothing_40_per_ago_%,7646.666666648891
Fast_Stoch_70_per_6_smoothing_40_per_ago_%,7646.666666647325
Fast_Stoch_84_per_6_smoothing_41_per_ago_%,7505.818181817659
Fast_Stoch_70_per_6_smoothing_41_per_ago_%,7505.81818181615
Fast_Stoch_98_per_6_smoothing_58_per_ago_%,7438.25136611841
Fast_Stoch_84_per_6_smoothing_55_per_ago_%,7366.666666648489
Fast_Stoch_84_per_6_smoothing_54_per_ago_%,7366.666666648489
Fast_Stoch_70_per_6_smoothing_39_per_ago_%,7366.666666647855
Fast_Stoch_70_per_6_smoothing_55_per_ago_%,7366.666666646981
Fast_Stoch_70_per_6_smoothing_54_per_ago_%,7366.666666646981
Fast_Stoch_84_per_6_smoothing_42_per_ago_%,7365.668449197361
Fast_Stoch_70_per_6_smoothing_42_per_ago_%,7365.66844919588
Fast_Stoch_70_per_6_smoothing_37_per_ago_%,7359.999999981621
Fast_Stoch_84_per_6_smoothing_52_per_ago_%,7288.888888871078
Fast_Stoch_70_per_6_smoothing_52_per_ago_%,7288.888888869587
Fast_Stoch_70_per_6_smoothing_38_per_ago_%,7273.333333314976
Fast_Stoch_98_per_6_smoothing_40_per_ago_%,7248.394649322691
Fast_Stoch_84_per_6_smoothing_56_per_ago_%,7230.909090907562
Fast_Stoch_70_per_6_smoothing_56_per_ago_%,7230.90909090611
Fast_Stoch_84_per_6_smoothing_43_per_ago_%,7225.518716577064
Fast_Stoch_70_per_6_smoothing_43_per_ago_%,7225.51871657561
Fast_Stoch_84_per_6_smoothing_53_per_ago_%,7211.111111093325
Fast_Stoch_70_per_6_smoothing_53_per_ago_%,7211.11111109185
Fast_Stoch_98_per_6_smoothing_60_per_ago_%,7161.8881118940635
Fast_Stoch_98_per_6_smoothing_59_per_ago_%,7161.8881118940635
Fast_Stoch_84_per_6_smoothing_51_per_ago_%,7133.333333315914
Fast_Stoch_70_per_6_smoothing_51_per_ago_%,7133.333333314456
Fast_Stoch_84_per_6_smoothing_39_per_ago_%,7130.877192965754
Fast_Stoch_84_per_6_smoothing_57_per_ago_%,7078.1818181803355
Fast_Stoch_70_per_6_smoothing_57_per_ago_%,7078.181818178913
Fast_Stoch_70_per_6_smoothing_36_per_ago_%,7059.9999999825895
Fast_Stoch_84_per_6_smoothing_50_per_ago_%,7046.405228741125
Fast_Stoch_70_per_6_smoothing_50_per_ago_%,7046.405228739683
Fast_Stoch_98_per_6_smoothing_39_per_ago_%,6997.364774191222
Fast_Stoch_84_per_6_smoothing_46_per_ago_%,6994.963866309996
