iter	MultiClass	Precision:use_weights=true;class=0	Precision:use_weights=true;class=1	Precision:use_weights=true;class=2	Precision:use_weights=false;class=0	Precision:use_weights=false;class=1	Precision:use_weights=false;class=2	Recall:use_weights=true;class=0	Recall:use_weights=true;class=1	Recall:use_weights=true;class=2	Recall:use_weights=false;class=0	Recall:use_weights=false;class=1	Recall:use_weights=false;class=2
10	0.8886882721	0.7204791619	0.6867945034	0.7130131026	0.2794117647	0.9558674464	0.2869822485	0.7181102362	0.6388223033	0.7630285152	0.7181102362	0.6388223033	0.7630285152
11	0.8727611132	0.7245661826	0.6898783742	0.7236351697	0.2843495935	0.9564709547	0.2897335569	0.7343832021	0.6400729547	0.7645034415	0.7343832021	0.6400729547	0.7645034415
12	0.8628769745	0.7251017044	0.6947415853	0.7260608565	0.287389426	0.9574187544	0.2913488372	0.7333333333	0.6432516936	0.7699115044	0.7333333333	0.6432516936	0.7699115044
13	0.8526611344	0.7293143719	0.6955446337	0.7285012943	0.2902292915	0.9575701368	0.2931389045	0.7375328084	0.6456487754	0.7708947886	0.7375328084	0.6456487754	0.7708947886
14	0.8441954458	0.7340768072	0.6972951804	0.7311779627	0.2924958541	0.9579053062	0.2946995147	0.7406824147	0.6462741011	0.7763028515	0.7406824147	0.6462741011	0.7763028515
15	0.8318279538	0.7530613062	0.6966116937	0.741507447	0.303465765	0.957772479	0.2976278725	0.7538057743	0.6488796248	0.7895771878	0.7538057743	0.6488796248	0.7895771878
16	0.8203771924	0.7538117554	0.7103644372	0.7503239015	0.3072894847	0.9603632725	0.3019395748	0.7700787402	0.6502344971	0.7959685349	0.7700787402	0.6502344971	0.7959685349
17	0.8085649498	0.7617663091	0.7183320747	0.7549821538	0.3133543638	0.9618191596	0.3046481239	0.782152231	0.6524231371	0.802359882	0.782152231	0.6524231371	0.802359882
18	0.7964041664	0.7684137599	0.7302827913	0.7605868459	0.3168482816	0.963954291	0.3106430989	0.7937007874	0.6549765503	0.8121927237	0.7937007874	0.6549765503	0.8121927237
19	0.7889886134	0.7735979239	0.7293082051	0.7686635963	0.3189223058	0.9637825421	0.3145237644	0.8015748031	0.6559145388	0.8166175025	0.8015748031	0.6559145388	0.8166175025
20	0.7808241381	0.7770018173	0.7361222077	0.7724888086	0.3223642842	0.9649793546	0.3170454545	0.8073490814	0.6576341845	0.8230088496	0.8073490814	0.6576341845	0.8230088496
21	0.773697626	0.7777468223	0.7386747213	0.7733920214	0.3219450849	0.9654249216	0.3186376537	0.8062992126	0.6576862949	0.8279252704	0.8062992126	0.6576862949	0.8279252704
22	0.7664726139	0.7792297648	0.7390636007	0.775747148	0.3226280437	0.9654935491	0.3207368021	0.806824147	0.6590411673	0.8303834808	0.806824147	0.6590411673	0.8303834808
23	0.7587211223	0.7905273834	0.7401114495	0.7850220631	0.328405491	0.9656747089	0.3255946717	0.8162729659	0.6611776967	0.8411996067	0.8162729659	0.6611776967	0.8411996067
24	0.7497348651	0.792475606	0.745167191	0.7856382229	0.3315621679	0.9665402124	0.3270404272	0.8188976378	0.6638353309	0.843166175	0.8188976378	0.6638353309	0.843166175
25	0.7432303416	0.7978493737	0.7521082591	0.7915186229	0.335814547	0.9677125966	0.3304032104	0.8288713911	0.6653465347	0.8500491642	0.8288713911	0.6653465347	0.8500491642
26	0.7365365693	0.7992215535	0.759639856	0.792262246	0.3369955631	0.9689587128	0.3316091954	0.8372703412	0.6652944242	0.8510324484	0.8372703412	0.6652944242	0.8510324484
27	0.7301444212	0.8034138734	0.757456824	0.7946878671	0.339445629	0.9686010441	0.3332056683	0.8356955381	0.6671182908	0.8554572271	0.8356955381	0.6671182908	0.8554572271
28	0.7248617335	0.8050392291	0.7543240326	0.7958722978	0.3398972603	0.9680795001	0.3359103208	0.8335958005	0.6700885878	0.854473943	0.8335958005	0.6700885878	0.854473943
29	0.7198139309	0.8027686336	0.7577671979	0.8003745066	0.3381325429	0.9686534549	0.3390457644	0.83832021	0.6698801459	0.8559488692	0.83832021	0.6698801459	0.8559488692
30	0.7150327529	0.8058927856	0.7585810147	0.8008696817	0.3404345974	0.9687876053	0.3397548161	0.8388451444	0.6712350182	0.8584070796	0.8388451444	0.6712350182	0.8584070796
31	0.7092520604	0.8081194658	0.7631558866	0.8053596143	0.3427840546	0.9695401005	0.3433157174	0.8440944882	0.6734236582	0.8623402163	0.8440944882	0.6734236582	0.8623402163
32	0.703066797	0.812271958	0.7627437093	0.8083853743	0.3481545435	0.9694730557	0.3444488035	0.8467191601	0.6768629495	0.8633235005	0.8467191601	0.6768629495	0.8633235005
33	0.6972599298	0.8181880692	0.7716439705	0.8114109199	0.3537960954	0.9709099025	0.3477747145	0.856167979	0.6800416884	0.8682399213	0.856167979	0.6800416884	0.8682399213
34	0.693151438	0.8185285181	0.7707799429	0.8110456878	0.3538361226	0.9707719768	0.3476977568	0.8545931759	0.6801980198	0.8687315634	0.8545931759	0.6801980198	0.8687315634
35	0.68781191	0.8212225476	0.7752996653	0.8145485475	0.3578442069	0.97149204	0.350922436	0.8608923885	0.6836894216	0.8697148476	0.8608923885	0.6836894216	0.8697148476
36	0.6835682639	0.822762858	0.778867539	0.8153260848	0.36000877	0.9720579539	0.3521825397	0.8619422572	0.6852527358	0.8726647001	0.8619422572	0.6852527358	0.8726647001
37	0.6796802115	0.8251893396	0.7810240904	0.8175479727	0.3615856329	0.9723944494	0.354336989	0.8666666667	0.6865033872	0.8736479843	0.8666666667	0.6865033872	0.8736479843
38	0.6748566885	0.826309389	0.7798586547	0.8190202066	0.3629971435	0.9722099691	0.356511254	0.867191601	0.6891089109	0.872173058	0.867191601	0.6891089109	0.872173058
39	0.6713092193	0.8299503628	0.7810310394	0.8207969572	0.3656864913	0.9723955657	0.3576730191	0.8682414698	0.6902032308	0.8765978368	0.8682414698	0.6902032308	0.8765978368
40	0.6679417361	0.8299909414	0.7808970134	0.8216434456	0.3657888913	0.9723748809	0.359258513	0.8677165354	0.6915059927	0.8765978368	0.8677165354	0.6915059927	0.8765978368
41	0.6619920578	0.8312052427	0.7814500349	0.8240335563	0.3673469388	0.9724616508	0.3617927398	0.8692913386	0.6937467431	0.8770894789	0.8692913386	0.6937467431	0.8770894789
42	0.6540769944	0.8327197341	0.7860224167	0.8262146081	0.370155902	0.9731758875	0.3638211382	0.8724409449	0.6957269411	0.8800393314	0.8724409449	0.6957269411	0.8800393314
43	0.6470777509	0.8351360872	0.7962659367	0.8300165435	0.3751671868	0.9747452693	0.3663063431	0.8834645669	0.697915581	0.8829891839	0.8834645669	0.697915581	0.8829891839
44	0.6421416301	0.839951021	0.7996553484	0.8306428542	0.3803293481	0.9752575824	0.3673178673	0.8850393701	0.7004168838	0.8874139626	0.8850393701	0.7004168838	0.8874139626
45	0.6357287243	0.8420294287	0.8063498784	0.8328161179	0.3835554552	0.9762559722	0.3700900164	0.8913385827	0.7027618551	0.889380531	0.8913385827	0.7027618551	0.889380531
46	0.6316351648	0.8446573096	0.8079513725	0.835329174	0.3865336658	0.9764935629	0.3708094849	0.8950131234	0.7035435122	0.8918387414	0.8950131234	0.7035435122	0.8918387414
47	0.6264453428	0.8458512148	0.813111115	0.8362126251	0.3874262369	0.9772530329	0.3737435897	0.8960629921	0.7052110474	0.8957718781	0.8960629921	0.7052110474	0.8957718781
48	0.6230191221	0.8480713014	0.8138425056	0.8383010221	0.3888636364	0.9773595789	0.3757201646	0.8981627297	0.7063574779	0.8977384464	0.8981627297	0.7063574779	0.8977384464
49	0.6190344874	0.8489841774	0.8149974074	0.8389077686	0.3907390511	0.9775256696	0.3783727688	0.8992125984	0.7094319958	0.8962635202	0.8992125984	0.7094319958	0.8962635202
50	0.6136522589	0.8509205641	0.8161653653	0.8416361186	0.393101873	0.9776949007	0.3795757072	0.9034120735	0.7103699844	0.8972468043	0.9034120735	0.7103699844	0.8972468043
51	0.608852012	0.8513531106	0.8195185694	0.8420763146	0.3939670932	0.9781812962	0.3796680498	0.9049868766	0.7102136529	0.8997050147	0.9049868766	0.7102136529	0.8997050147
52	0.602737039	0.8521539415	0.8226371301	0.8455973078	0.3956043956	0.9786306461	0.3845669952	0.9070866142	0.7135487233	0.9016715831	0.9070866142	0.7135487233	0.9016715831
53	0.5976923001	0.8531412677	0.8227216876	0.8467490294	0.3977429756	0.9786431266	0.3869198312	0.9065616798	0.7163626889	0.9016715831	0.9065616798	0.7163626889	0.9016715831
54	0.5932698401	0.855305987	0.826969664	0.8475142515	0.3999537358	0.9792495736	0.3891001267	0.9076115486	0.7180823345	0.9056047198	0.9076115486	0.7180823345	0.9056047198
55	0.5888854713	0.8575521896	0.831266166	0.8491964859	0.4031133829	0.9798567274	0.3910283538	0.9107611549	0.7199062011	0.9085545723	0.9107611549	0.7199062011	0.9085545723
56	0.5844833803	0.8594045293	0.8313432918	0.8501447816	0.4030719106	0.9798695775	0.3928873836	0.9091863517	0.7203751954	0.9124877089	0.9091863517	0.7203751954	0.9124877089
57	0.5805770969	0.8617220037	0.8338641419	0.8522450143	0.4072684642	0.9802231954	0.3950276243	0.9118110236	0.723189161	0.9139626352	0.9118110236	0.723189161	0.9139626352
58	0.5770743489	0.8634583191	0.8365650897	0.8518473021	0.4094228504	0.9805996473	0.3956253982	0.912335958	0.7243355915	0.9159292035	0.912335958	0.7243355915	0.9159292035
59	0.5738521806	0.863907792	0.8377028362	0.8530775376	0.4095619407	0.9807583874	0.3974440895	0.9128608924	0.7251172486	0.9174041298	0.9128608924	0.7251172486	0.9174041298
60	0.5716814779	0.8641378417	0.8389721935	0.853245081	0.4101110324	0.9809356314	0.3992736595	0.9112860892	0.7266284523	0.918879056	0.9112860892	0.7266284523	0.918879056
61	0.5687306652	0.8639151276	0.840057267	0.8534283215	0.4104319094	0.9810843119	0.3997002783	0.9128608924	0.7270453361	0.9178957719	0.9128608924	0.7270453361	0.9178957719
62	0.5659166018	0.8661938344	0.8413684984	0.8541049836	0.4129506641	0.9812644727	0.4011154011	0.9139107612	0.7287128713	0.9193706981	0.9139107612	0.7287128713	0.9193706981
63	0.5624846396	0.8689229485	0.8437691238	0.8544502968	0.4173850575	0.9815942333	0.4018010292	0.9149606299	0.7309015112	0.9213372665	0.9149606299	0.7309015112	0.9213372665
64	0.5579603844	0.8693736763	0.8477363944	0.8564797105	0.4201781844	0.9821378733	0.4046080965	0.9160104987	0.7335070349	0.9237954769	0.9160104987	0.7335070349	0.9237954769
65	0.5541509116	0.8723206899	0.8507457389	0.858033633	0.4243085881	0.9825452017	0.4071752756	0.9181102362	0.73626889	0.9262536873	0.9181102362	0.73626889	0.9262536873
66	0.5506018437	0.8732958448	0.8515934556	0.8596832445	0.4247873633	0.9826605632	0.410791993	0.9175853018	0.7383011985	0.9282202557	0.9175853018	0.7383011985	0.9282202557
67	0.5478919361	0.8733151761	0.8531193916	0.8598904996	0.4248239009	0.9828662597	0.411227154	0.9181102362	0.738353309	0.9292035398	0.9181102362	0.738353309	0.9292035398
68	0.5444420654	0.8746124258	0.8569256868	0.8643354547	0.4268736357	0.9833760477	0.4147515868	0.9238845144	0.7398124023	0.9316617502	0.9238845144	0.7398124023	0.9316617502
69	0.5415150668	0.8753758179	0.85760645	0.8645021778	0.4277723735	0.9834670725	0.4159175619	0.9233595801	0.7408546118	0.9326450344	0.9233595801	0.7408546118	0.9326450344
70	0.5373228857	0.8764860419	0.8580004759	0.8657914765	0.4285714286	0.9835195145	0.4196685083	0.9228346457	0.7432516936	0.9336283186	0.9228346457	0.7432516936	0.9336283186
71	0.5310291382	0.8767294024	0.8583984595	0.8664514776	0.4309838473	0.9835704956	0.4212633452	0.9244094488	0.7455966649	0.9311701082	0.9244094488	0.7455966649	0.9311701082
72	0.5279634002	0.879267951	0.861364128	0.8668967537	0.4361702128	0.9839638158	0.422246941	0.9254593176	0.7482021886	0.9331366765	0.9254593176	0.7482021886	0.9331366765
73	0.5242491623	0.8795773427	0.8620827599	0.8681839416	0.4369268897	0.9840596566	0.4243913335	0.9254593176	0.749557061	0.9341199607	0.9254593176	0.749557061	0.9341199607
74	0.5210068756	0.8801859392	0.8649643467	0.870902151	0.4383833375	0.9844389844	0.4282178218	0.9280839895	0.7516414799	0.9355948869	0.9280839895	0.7516414799	0.9355948869
75	0.5187138523	0.8807375633	0.8660929685	0.8715430448	0.4387881798	0.9845881069	0.4296980622	0.9275590551	0.7523710266	0.9375614553	0.9275590551	0.7523710266	0.9375614553
76	0.5157570051	0.8812984827	0.8672291587	0.8716646184	0.4401592436	0.9847359455	0.429988726	0.9286089239	0.7530484627	0.9375614553	0.9286089239	0.7530484627	0.9375614553
